gene,folds_selected,ML_recurrence_group
MTSS1,1,1_of_3
MUC20,1,1_of_3
MYADM,1,1_of_3
MYL12A,1,1_of_3
MYL12B,1,1_of_3
MYLIP,1,1_of_3
MYO16,1,1_of_3
N4BP2,1,1_of_3
NAV3,1,1_of_3
NAXE,1,1_of_3
NBL1,1,1_of_3
NCOA3,1,1_of_3
NDUFA10,1,1_of_3
NDUFB1,1,1_of_3
NDUFB8,1,1_of_3
NFE2L1,1,1_of_3
NFU1,1,1_of_3
NINJ1,1,1_of_3
NME1,1,1_of_3
NME4,1,1_of_3
NMNAT3,1,1_of_3
NOL3,1,1_of_3
NPEPL1,1,1_of_3
NPM1,1,1_of_3
NR4A1,1,1_of_3
NUDT4,1,1_of_3
ORM1,1,1_of_3
OSBPL8,1,1_of_3
OVOL1,1,1_of_3
PARM1,1,1_of_3
PCP2,1,1_of_3
PDLIM1,1,1_of_3
PHB,1,1_of_3
PHLDA2,1,1_of_3
PIGP,1,1_of_3
PIGS,1,1_of_3
PIGT,1,1_of_3
PIGX,1,1_of_3
PLAAT2,1,1_of_3
PLAAT4,1,1_of_3
PLPPR3,1,1_of_3
PLXNA2,1,1_of_3
PMVK,1,1_of_3
POLD4,1,1_of_3
POLDIP2,1,1_of_3
PPCS,1,1_of_3
PPM1K,1,1_of_3
PPP1R1B,1,1_of_3
PPP2R5A,1,1_of_3
PREX1,1,1_of_3
PRXL2A,1,1_of_3
PTGES3,1,1_of_3
RAB11FIP1,1,1_of_3
RABAC1,1,1_of_3
RABEP1,1,1_of_3
RADIL,1,1_of_3
RAMP3,1,1_of_3
RASD1,1,1_of_3
RBL2,1,1_of_3
RBM47,1,1_of_3
RBX1,1,1_of_3
RCC1L,1,1_of_3
REX1BD,1,1_of_3
RGN,1,1_of_3
RGS10,1,1_of_3
RHOBTB3,1,1_of_3
RIMS1,1,1_of_3
RNASEH2C,1,1_of_3
RPL12,1,1_of_3
RPL17,1,1_of_3
RPL21,1,1_of_3
RPL22,1,1_of_3
RPL27,1,1_of_3
RPL31,1,1_of_3
RPL37,1,1_of_3
RPN2,1,1_of_3
RPS12,1,1_of_3
RPS14,1,1_of_3
RPS2,1,1_of_3
RPS27,1,1_of_3
RPS28,1,1_of_3
RPS6,1,1_of_3
RPS6KB2,1,1_of_3
RPS8,1,1_of_3
RXYLT1,1,1_of_3
S100A13,1,1_of_3
S100P,1,1_of_3
SARAF,1,1_of_3
SAYSD1,1,1_of_3
SCAND1,1,1_of_3
SCGB2A1,1,1_of_3
SCNN1A,1,1_of_3
SDF2L1,1,1_of_3
SEC61A1,1,1_of_3
SEC61G,1,1_of_3
SELENOK,1,1_of_3
SELENOM,1,1_of_3
SELENOS,1,1_of_3
SERINC2,1,1_of_3
SERINC3,1,1_of_3
SERTAD3,1,1_of_3
SEZ6L2,1,1_of_3
SFXN5,1,1_of_3
SH3BGRL,1,1_of_3
SHARPIN,1,1_of_3
SIAH2,1,1_of_3
SIGIRR,1,1_of_3
SLC16A6,1,1_of_3
SLC17A9,1,1_of_3
SLC1A5,1,1_of_3
SLC25A1,1,1_of_3
SLC25A5,1,1_of_3
SLC25A6,1,1_of_3
SLC2A4RG,1,1_of_3
SLC30A1,1,1_of_3
SLC35E3,1,1_of_3
SLC40A1,1,1_of_3
SLC49A3,1,1_of_3
SLC7A5,1,1_of_3
SLC9A3R2,1,1_of_3
SLIRP,1,1_of_3
SLPI,1,1_of_3
SMARCD2,1,1_of_3
SMCO3,1,1_of_3
SMDT1,1,1_of_3
SNF8,1,1_of_3
SNHG5,1,1_of_3
SNRPN,1,1_of_3
SPAAR,1,1_of_3
SPDEF,1,1_of_3
SPOP,1,1_of_3
SQLE,1,1_of_3
SQOR,1,1_of_3
SRARP,1,1_of_3
SREBF1,1,1_of_3
SRRM3,1,1_of_3
SRSF9,1,1_of_3
SSR3,1,1_of_3
SSR4,1,1_of_3
STK24,1,1_of_3
STMN3,1,1_of_3
STOM,1,1_of_3
SUB1,1,1_of_3
SUPT4H1,1,1_of_3
SYNGR1,1,1_of_3
SYP,1,1_of_3
SYTL5,1,1_of_3
TACO1,1,1_of_3
TACSTD2,1,1_of_3
TAPBP,1,1_of_3
TCEAL3,1,1_of_3
TCEAL4,1,1_of_3
TCTN1,1,1_of_3
TERF2IP,1,1_of_3
TFF3,1,1_of_3
TFPI2,1,1_of_3
TJP3,1,1_of_3
TLE5,1,1_of_3
TM4SF1,1,1_of_3
TMED10,1,1_of_3
TMED8,1,1_of_3
TMEM123,1,1_of_3
TMEM141,1,1_of_3
TMEM208,1,1_of_3
TMEM97,1,1_of_3
TMEM98,1,1_of_3
TMEM9B,1,1_of_3
TMX4,1,1_of_3
TNFSF10,1,1_of_3
TNNI3,1,1_of_3
TOB1,1,1_of_3
TOMM22,1,1_of_3
TPBG,1,1_of_3
TRAPPC2L,1,1_of_3
TRAPPC6A,1,1_of_3
TRIP6,1,1_of_3
TRPS1,1,1_of_3
TSHZ1,1,1_of_3
TSPAN1,1,1_of_3
TSPAN15,1,1_of_3
UBE2S,1,1_of_3
UGCG,1,1_of_3
UQCC3,1,1_of_3
UQCR11,1,1_of_3
UQCRQ,1,1_of_3
USF2,1,1_of_3
USP53,1,1_of_3
USP9X,1,1_of_3
VAMP2,1,1_of_3
VMP1,1,1_of_3
VPS51,1,1_of_3
WFDC2,1,1_of_3
WNK1,1,1_of_3
YWHAB,1,1_of_3
ZADH2,1,1_of_3
ZCRB1,1,1_of_3
ZDHHC24,1,1_of_3
ZFAND2A,1,1_of_3
ZFAS1,1,1_of_3
ZFHX3,1,1_of_3
ZFP36L1,1,1_of_3
ZMAT2,1,1_of_3
ZNF281,1,1_of_3
ZNF44,1,1_of_3
ZNF587,1,1_of_3
