gene,detected_cells,detection_fraction,total_expression,mean_expression
ZNF600,226,0.06688369340041432,147.12279978100833,0.043540337313112853
RLN2,226,0.06688369340041432,189.49852640310084,0.05608124486626245
SHANK2,226,0.06688369340041432,136.5075362776907,0.0403987973594823
GTF2IRD2B,226,0.06688369340041432,150.62949772092395,0.04457812894966675
ZNF618,226,0.06688369340041432,146.87152236273607,0.043465972880359895
C5orf51,226,0.06688369340041432,132.9205319898636,0.03933723941694691
GPATCH3,226,0.06688369340041432,142.04564344357226,0.042037775508603804
CNNM4,226,0.06688369340041432,141.2932948962042,0.041815121306955964
BTAF1,226,0.06688369340041432,143.98381745718183,0.04261136947534236
ZNF496,226,0.06688369340041432,122.37111871640708,0.036215187545548116
COQ2,226,0.06688369340041432,128.2101873635042,0.0379432339045588
BEX1,226,0.06688369340041432,432.26201058285756,0.12792601674544468
ASH1L-AS1,226,0.06688369340041432,139.51926989552132,0.041290106509476565
NEDD1,226,0.06688369340041432,129.90897510747877,0.038445982571020644
SLC25A40,226,0.06688369340041432,148.51795728377064,0.04395322796205109
GPR180,226,0.06688369340041432,126.58622039847857,0.03746262811437661
MTFMT,226,0.06688369340041432,136.88001131998328,0.04050902968925223
FRMD4A,225,0.0665877478543948,158.87329392128532,0.047017843717456445
SOCS7,225,0.0665877478543948,129.03132197941042,0.03818624503681871
RIOX1,225,0.0665877478543948,135.0849157051616,0.039977779137366554
OLFM1,225,0.0665877478543948,145.2705531021111,0.04299217315836375
DBT,225,0.0665877478543948,126.82573977742037,0.0375335128077598
MEAK7,225,0.0665877478543948,144.02216193498415,0.0426227173527624
C11orf80,225,0.0665877478543948,135.39332826544086,0.04006905246091769
SYTL5,225,0.0665877478543948,180.2905829369282,0.053356195009449006
COA7,225,0.0665877478543948,132.66705868919422,0.03926222512257894
LNX1,225,0.0665877478543948,142.8476538495046,0.0422751269161008
PTPN14,225,0.0665877478543948,142.5147888706368,0.04217661700817899
TRIM39,225,0.0665877478543948,140.01419972594152,0.041436578788381626
PCGF6,225,0.0665877478543948,128.77076458261072,0.0381091342357534
SAMD11,225,0.0665877478543948,138.86019294184416,0.04109505562055169
AP005329.3,224,0.06629180230837525,145.70924723917744,0.04312200273429341
WNT7B,224,0.06629180230837525,145.3269199590897,0.043008854678629686
PUS7,224,0.06629180230837525,134.7611033876516,0.03988194832425321
NNMT,224,0.06629180230837525,203.6324354371122,0.060264112292723354
