"gene","sample_id","expressing_fraction","mean_expression"
"TPD52L1","BC11",0.852517985611511,1.02121752099398
"TPD52L1","BC12",0.397368421052632,0.241317271879758
"TPD52L1","BC17",0.501392757660167,0.472362646994225
"SKIL","BC11",0.464028776978417,0.374912084294991
"SKIL","BC12",0.897368421052632,1.02441481649228
"SKIL","BC17",0.231197771587744,0.167486261030425
"DYNLRB1","BC11",0.881294964028777,1.20950591925925
"DYNLRB1","BC12",0.913157894736842,1.06057853778273
"DYNLRB1","BC17",0.927576601671309,1.39539798766472
"RTN2","BC11",0.564748201438849,0.469361334033411
"RTN2","BC12",0.647368421052632,0.418615803142102
"RTN2","BC17",0.247910863509749,0.184928334063881
"SCD","BC11",0.841726618705036,1.23243343534084
"SCD","BC12",0.863157894736842,1.0505569836932
"SCD","BC17",0.267409470752089,0.239414741471158
"CKB","BC11",0.507194244604317,0.45204317449954
"CKB","BC12",0.365789473684211,0.192244838855035
"CKB","BC17",0.986072423398329,2.25129391307496
"S100P","BC11",0.996402877697842,2.65087115201071
"S100P","BC12",0.952631578947368,1.5764824183287
"S100P","BC17",0.0696378830083565,0.0490960106127694
"DNAJA4","BC11",0.827338129496403,1.04520950274919
"DNAJA4","BC12",0.576315789473684,0.405728886745952
"DNAJA4","BC17",0.203342618384401,0.147138123993348
"RERG","BC11",0.683453237410072,0.652183938213421
"RERG","BC12",0.402631578947368,0.215848432773914
"RERG","BC17",0.738161559888579,0.967107208527668
"KCNC2","BC11",0.70863309352518,0.692712904653916
"KCNC2","BC12",0.00263157894736842,0.00201790035960147
"KCNC2","BC17",0.894150417827298,1.31086359982777
"HOXB6","BC11",0.0755395683453237,0.0406453555527496
"HOXB6","BC12",0.497368421052632,0.295690451405913
"HOXB6","BC17",0.395543175487465,0.360444818010603
"STC1","BC11",0.942446043165468,2.0237314197765
"STC1","BC12",0.276315789473684,0.183269758775846
"STC1","BC17",0.0250696378830084,0.0217788739591493
"H2BC21","BC11",0.568345323741007,0.496174217040881
"H2BC21","BC12",0.85,0.824712567754541
"H2BC21","BC17",0.729805013927577,0.868679143927874
