gene,coefficient,test_sample,selected_C
BAG3,-0.0017161622921221997,BC11,0.01
CAND1,-0.01039242606604865,BC11,0.01
SPATA20,-0.0030876427537665676,BC11,0.01
CTSA,0.020174785469924968,BC11,0.01
C8orf82,0.044783614134121595,BC11,0.01
TIMP3,0.11240575401203674,BC11,0.01
FBP1,-0.03300502530529549,BC11,0.01
POP7,-0.0007861314716958019,BC11,0.01
CTSZ,-0.04402745001243247,BC11,0.01
COPRS,0.0730450741691975,BC11,0.01
HMGCS1,-0.0060056810899206375,BC11,0.01
CLTC,-0.07182995284558825,BC11,0.01
NFU1,-0.006230247681959316,BC11,0.01
MEA1,0.015517714564127736,BC11,0.01
COMTD1,0.010896312895985498,BC11,0.01
CLPTM1,0.049248981779789994,BC11,0.01
EBP,-0.010068683391355878,BC11,0.01
RNF13,0.04449073013508116,BC11,0.01
FLYWCH2,0.05864771591133823,BC11,0.01
IRF2BPL,0.050767918668168065,BC11,0.01
MGMT,-0.006849332374961654,BC11,0.01
EML2,0.022107269239488234,BC11,0.01
STMN1,-0.02409005263677084,BC11,0.01
PIGX,0.018788961408771274,BC11,0.01
AL035661.1,0.05248207340803035,BC11,0.01
BRMS1,0.036668745018515234,BC11,0.01
CDK4,-0.004398414491316655,BC11,0.01
SIGIRR,-0.011665364904174162,BC11,0.01
TSG101,-0.014755721371981166,BC11,0.01
CHPF,-0.008452015420841027,BC11,0.01
SPR,0.025558116819582796,BC11,0.01
ELAPOR1,-0.003888265969202433,BC11,0.01
MRPS36,-0.009963383568177244,BC11,0.01
ATXN10,-0.011502683112664001,BC11,0.01
MTX2,-0.006102106750244789,BC11,0.01
SAYSD1,0.03414286114194109,BC11,0.01
JOSD2,0.018004537854581126,BC11,0.01
FAM102A,-0.06449393914317769,BC11,0.01
FIBP,0.006135811602138671,BC11,0.01
HEXIM1,-0.021753078977029293,BC11,0.01
ATP6V1H,-0.020803355154204506,BC11,0.01
KCNK6,-0.055448068324694524,BC11,0.01
FAM120A,-0.013143571039940991,BC11,0.01
HDDC2,-0.020516457606760338,BC11,0.01
CXXC5,0.014865652555242683,BC11,0.01
IFT27,0.023650854829119397,BC11,0.01
CANT1,0.00260930725509636,BC11,0.01
SERTAD3,0.06084870537749828,BC11,0.01
FSIP1,0.034572982724194436,BC11,0.01
ERGIC1,-0.021401760267585935,BC11,0.01
RBBP4,-0.017636494712730443,BC11,0.01
CCDC85B,-0.006741968796698078,BC11,0.01
WDR61,-0.019658553436487806,BC11,0.01
PAGR1,0.006181983567177624,BC11,0.01
NUCB1,0.026091378447298967,BC11,0.01
ANAPC5,-0.013740860027122336,BC11,0.01
TCTA,0.0231307771190702,BC11,0.01
CREG1,-0.018470279005091093,BC11,0.01
KRR1,0.01481313634882779,BC11,0.01
NOL3,0.03110967373271711,BC11,0.01
RETREG2,0.009134085174055038,BC11,0.01
S100P,0.08060342011864689,BC11,0.01
CDIPT,-0.007416742255510894,BC11,0.01
TESMIN,0.05014321068656172,BC11,0.01
C1orf122,-0.0044282495176433375,BC11,0.01
MYADM,-0.020002385735686117,BC11,0.01
FAM174A,0.030737600568092903,BC11,0.01
PGP,-9.321356457349817e-06,BC11,0.01
ACOT13,0.06467521207715289,BC11,0.01
NT5C,-0.02332060189515627,BC11,0.01
SPINT1-AS1,-0.009389771064608443,BC11,0.01
MSI2,-0.08070825234862453,BC11,0.01
CAMK2N1,0.0016425341658363925,BC11,0.01
AKAP1,0.025406084443185258,BC11,0.01
PDZD11,0.014549744565037576,BC11,0.01
RAB17,0.039001216293813416,BC11,0.01
C15orf61,-0.004003940571883833,BC11,0.01
BRI3,-0.06085429970492813,BC11,0.01
MTARC2,0.061519370908310125,BC11,0.01
NFE2L1,-0.02282055341523493,BC11,0.01
AK1,-0.033563923866834926,BC11,0.01
ETHE1,0.008802783534585587,BC11,0.01
SYS1,0.04884153742261159,BC11,0.01
ZNF24,-0.03998657783019753,BC11,0.01
MAP4K3-DT,-0.005033502473776452,BC11,0.01
ZNF385A,0.0035056530531080952,BC11,0.01
ARL2BP,0.011158730162257484,BC11,0.01
MTHFS,0.0010564372149088847,BC11,0.01
MPC1,-0.014044788620138627,BC11,0.01
STARD7,-0.005834463658691953,BC11,0.01
DCAF7,-0.045364838003727086,BC11,0.01
CRLS1,0.003696492234955205,BC11,0.01
BEX4,0.01972678890969244,BC11,0.01
CERS6,-0.022324688030862495,BC11,0.01
POLR3K,0.01796246327797059,BC11,0.01
SKIL,0.08950082649259158,BC11,0.01
ALG13,0.017417942246044378,BC11,0.01
EXOSC5,0.02693719041915324,BC11,0.01
GOSR2,0.01977317829924,BC11,0.01
A1BG,0.0352091462671547,BC11,0.01
IARS2,-0.0465423552214571,BC11,0.01
SS18L2,-0.012031303558341205,BC11,0.01
SWI5,7.724561125186581e-05,BC11,0.01
STIP1,0.003893439591051669,BC11,0.01
M6PR,0.016740307783843746,BC11,0.01
OTUB1,-0.04720229677418524,BC11,0.01
SKAP1,0.02888228564663204,BC11,0.01
POLR2C,0.021351578549148643,BC11,0.01
LYPD3,0.0009151598333263173,BC11,0.01
KIF12,0.08299800272117967,BC11,0.01
GPR160,-0.010497503152496836,BC11,0.01
ERG28,0.007928151852878573,BC11,0.01
SAC3D1,0.059284860844609356,BC11,0.01
TJP3,0.038515409557322626,BC11,0.01
HMGN4,0.015407872105502764,BC11,0.01
CCS,0.029482629235378113,BC11,0.01
HADHB,-0.07839844765503122,BC11,0.01
CRELD2,0.027367447865624676,BC11,0.01
MACROD1,0.0688355239243015,BC11,0.01
RPA3,0.016956610102026835,BC11,0.01
AKT2,-0.013703412720390452,BC11,0.01
OTUD6B-AS1,-0.011631918458778829,BC11,0.01
PRR15L,0.024254314757088467,BC11,0.01
MAGEF1,-0.02181529792494805,BC11,0.01
DHX30,-0.011790331151909413,BC11,0.01
UNC50,0.012971741872076836,BC11,0.01
GSTM3,0.05883942408350773,BC11,0.01
ETFRF1,-0.004017712754944158,BC11,0.01
CCDC91,0.017667937214096846,BC11,0.01
MTSS1,0.056471602748659616,BC11,0.01
CYHR1,-0.0310846645219433,BC11,0.01
SECISBP2,-0.029853461449102007,BC11,0.01
DST,-0.01703404643600968,BC11,0.01
ABHD2,0.010192860780382592,BC11,0.01
TMED7,0.03325238929677425,BC11,0.01
KCNC2,0.0011930406101702837,BC11,0.01
FAM110A,-0.007008215020625953,BC11,0.01
LLGL2,-0.015546346255867802,BC11,0.01
SLC22A18,-0.009379635488851583,BC11,0.01
CYB5B,0.0005347410204631652,BC11,0.01
MPLKIP,0.0013654291974927503,BC11,0.01
KCNQ1OT1,-0.03131484573867646,BC11,0.01
PRPSAP1,-0.00018936159226264022,BC11,0.01
H2BC4,0.03443826256932878,BC11,0.01
NUBP2,0.002310446063701704,BC11,0.01
RBP1,0.09190155710865694,BC11,0.01
PARL,0.005915179532877338,BC11,0.01
FBXL15,0.01118321212408744,BC11,0.01
ZNRD2,0.019654791145477017,BC11,0.01
BCAT2,-0.03697402301202188,BC11,0.01
GSTO2,-0.01724558828597906,BC11,0.01
EBLN3P,-0.02335831280216858,BC11,0.01
ARFGAP2,-0.03522795978365906,BC11,0.01
KRCC1,-0.0409244416608787,BC11,0.01
KAT6B,-0.08657977458359212,BC11,0.01
MMAB,0.014154428558185762,BC11,0.01
THAP7,0.016142830874473425,BC11,0.01
DNASE2,0.007711272962558238,BC11,0.01
SYNE4,-0.01223626862076686,BC11,0.01
CCDC34,-0.0258665903418042,BC11,0.01
ITFG1,-0.0030989591974645344,BC11,0.01
CPEB4,0.010083403304550945,BC11,0.01
DNAJA4,0.03848007800040095,BC11,0.01
COQ7,0.013028791534451654,BC11,0.01
RPRD1A,0.03814309742175059,BC11,0.01
TPGS2,-0.00029671878934416063,BC11,0.01
ENDOV,-0.0004602253630671836,BC11,0.01
OIP5-AS1,-0.012917006863011078,BC11,0.01
HK1,-0.0262058503642962,BC11,0.01
PDHX,-0.016618222778586354,BC11,0.01
EBAG9,0.012807117768044352,BC11,0.01
CCZ1,0.004767080125721341,BC11,0.01
GET1,-0.0022069868330902116,BC11,0.01
AHCY,-0.04169727356975113,BC11,0.01
SMARCA2,-0.014662514664766717,BC11,0.01
ZNF830,-0.0029587310408046687,BC11,0.01
NDUFS1,-0.03052368391887968,BC11,0.01
ARMT1,-0.03830233106645407,BC11,0.01
HNRNPL,-0.021378882680511503,BC11,0.01
B3GAT3,-0.01641725493546169,BC11,0.01
ABHD14A,0.027137170533369,BC11,0.01
CH17-340M24.3,0.008500027500227289,BC11,0.01
GFPT1,-0.04167491845247329,BC11,0.01
RXRA,0.04253049657072291,BC11,0.01
PTGES2,0.01328695762254178,BC11,0.01
TRUB2,0.022157390392750383,BC11,0.01
SMUG1,0.0022094608429262396,BC11,0.01
HRAS,-0.01664102510798875,BC11,0.01
COPG1,-0.010029369608077264,BC11,0.01
TMEM251,-0.005402060154226806,BC11,0.01
NPTN,-0.004032637945034191,BC11,0.01
DHRS4L2,-0.02900941389559992,BC11,0.01
MAFB,0.09559419842136338,BC11,0.01
ZBED5-AS1,0.05930740722674343,BC11,0.01
TRH,0.07336261971713799,BC11,0.01
VEZF1,6.97091359900591e-05,BC11,0.01
SLC39A3,0.04098969987794503,BC11,0.01
NFIX,0.13888739865434058,BC11,0.01
WFDC2,0.07408074390266636,BC11,0.01
PCNA,-0.034592042219653826,BC11,0.01
IFI27,0.007171396633769131,BC11,0.01
CD27-AS1,-0.01257193941679534,BC11,0.01
SMIM10L1,-0.0069766368075534655,BC11,0.01
CCDC57,-0.026733636449821668,BC11,0.01
TNFSF10,0.04716617593219909,BC11,0.01
ZDHHC4,0.002246897932574456,BC11,0.01
DNAJC12,-0.05053518317773249,BC11,0.01
IDH3A,0.061780626368304496,BC11,0.01
MTUS1,0.006770547223932974,BC11,0.01
ZNF664,-0.04375849264855181,BC11,0.01
THNSL2,0.005082864767620596,BC11,0.01
OXLD1,0.009051779342586136,BC11,0.01
FBXL5,-0.014748965424642256,BC11,0.01
RTN2,0.07577379409280353,BC11,0.01
