"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.86234594575375e-61,0.582880148379007,0.618,0.369,6.8210282609177e-57,"6","HES4"
2.3866207476081e-61,0.463918072093279,0.98,0.843,8.74123715018942e-57,"6","HSPB1"
3.18136976025009e-61,0.527786388133068,0.703,0.436,1.1652084883892e-56,"6","COX14"
3.30926647542249e-61,0.510086207603658,0.604,0.357,1.21205193928824e-56,"6","SDF2L1"
3.50268654580815e-61,0.729247793514382,0.352,0.158,1.28289397426769e-56,"6","PTPN18"
7.69262513069105e-61,0.508178540146409,0.683,0.425,2.8175008803669e-56,"6","ARPC5L"
7.92731104061026e-61,0.709896719975701,0.51,0.271,2.90345694173391e-56,"6","KNOP1"
8.34976504735947e-61,0.539900717350413,0.83,0.621,3.05818494624588e-56,"6","ATP5PF"
8.39190808860609e-61,0.561461016747719,0.844,0.645,3.07362025653287e-56,"6","ATP5MC3"
8.61361874946725e-61,0.924512201013771,0.285,0.118,3.15482400317987e-56,"6","TP53"
8.96775378911733e-61,0.932598401407022,0.33,0.145,3.28452950280211e-56,"6","SMARCD2"
9.09573323500339e-61,1.14880457313098,0.254,0.099,3.33140325465234e-56,"6","PPIL1"
9.38071504982813e-61,0.624755866123526,0.608,0.365,3.43578069415005e-56,"6","SUMO3"
1.03794388422798e-60,0.635978290040552,0.644,0.387,3.8015732703734e-56,"6","MRPL52"
1.12667656926826e-60,0.645280092981874,0.627,0.38,4.12656560260192e-56,"6","MRPL54"
1.60513320271612e-60,0.674206998348434,0.702,0.448,5.87896086826806e-56,"6","DUSP23"
1.66030873445734e-60,0.617114326288805,0.77,0.506,6.08104677082346e-56,"6","BLVRB"
1.77954026242598e-60,0.678069759042416,0.495,0.261,6.5177441651614e-56,"6","CUEDC2"
1.84049287299907e-60,1.0031807031754,0.352,0.162,6.74098919664638e-56,"6","TESMIN"
2.56033519695629e-60,0.611700302987982,0.691,0.448,9.37748369237211e-56,"6","IER3IP1"
2.96236742440908e-60,0.70678061126022,0.582,0.332,1.08499669286407e-55,"6","GSTM3"
5.96515837724709e-60,1.08414325821296,0.27,0.109,2.18479890725052e-55,"6","GEMIN6"
6.03841945259325e-60,0.582223452997474,0.363,0.168,2.2116315087068e-55,"6","PREX1"
1.23900695645288e-59,0.612001177672523,0.607,0.367,4.53798687870432e-55,"6","HNRNPD"
1.48193011202864e-59,0.724694492970353,0.483,0.256,5.42771722831611e-55,"6","GSDMD"
1.66068139096737e-59,0.779178688879851,0.44,0.226,6.08241166255709e-55,"6","GDF15"
1.68356443557465e-59,0.837225338406441,0.406,0.204,6.1662231017357e-55,"6","TMEM98"
